,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date_action,points_de_vente,nom_action,montant
277,277,277,277,2022-04-15 09:45:46.0,277,action_vente_mtn_momo_cashout,3.20143424254066
278,278,278,278,2022-04-15 09:45:40.0,278,action_transfert,0.304898499289587
279,279,279,279,2022-04-15 09:45:40.0,279,COMMISSION_AJOUT,0.0
280,280,280,280,2022-04-15 09:45:40.0,280,COMMISSION_AJOUT,0.0022867387446719
281,281,281,281,2022-04-15 09:45:40.0,281,COMMISSION_AJOUT,0.0121959399715835
282,282,282,282,2022-04-15 09:45:39.0,282,action_credit_compte_client,304.898499289586
283,283,283,283,2022-04-15 09:45:37.0,283,action_eneo_paiement,15.4034721841099
284,284,284,284,2022-04-15 09:45:37.0,284,COMMISSION_AJOUT,0.0
285,285,285,285,2022-04-15 09:45:37.0,285,action_transfert,0.762246248223966
286,286,286,286,2022-04-15 09:45:37.0,286,COMMISSION_AJOUT,0.0
287,287,287,287,2022-04-15 09:45:37.0,287,COMMISSION_AJOUT,0.0057168468616797
288,288,288,288,2022-04-15 09:45:37.0,288,COMMISSION_AJOUT,0.0
289,289,289,289,2022-04-15 09:45:37.0,289,COMMISSION_AJOUT,0.0304898499289586
290,290,290,290,2022-04-15 09:45:34.0,290,action_transfert,0.762246248223966
291,291,291,291,2022-04-15 09:45:34.0,291,COMMISSION_AJOUT,0.0
292,292,292,292,2022-04-15 09:45:34.0,292,COMMISSION_AJOUT,0.0076224624822396
293,293,293,293,2022-04-15 09:45:34.0,293,COMMISSION_AJOUT,0.0076224624822396
294,294,294,294,2022-04-15 09:45:34.0,294,COMMISSION_AJOUT,0.0381123124111983
295,295,295,295,2022-04-15 09:45:34.0,295,validation_action_vente_orange_money_depot,0.0
296,296,296,296,2022-04-15 09:45:34.0,296,action_vente_orange_money_depot,762.246248223966
297,297,297,297,2022-04-15 09:45:27.0,297,action_transfert,1.67694174609273
298,298,298,298,2022-04-15 09:45:27.0,298,COMMISSION_AJOUT,0.0
299,299,299,299,2022-04-15 09:45:27.0,299,COMMISSION_AJOUT,0.0
300,300,300,300,2022-04-15 09:45:27.0,300,COMMISSION_AJOUT,0.0125770630956954
301,301,301,301,2022-04-15 09:45:27.0,301,COMMISSION_AJOUT,0.067077669843709
302,302,302,302,2022-04-15 09:45:24.0,302,action_transfert,0.762246248223966
303,303,303,303,2022-04-15 09:45:24.0,303,COMMISSION_AJOUT,0.0057168468616797
304,304,304,304,2022-04-15 09:45:24.0,304,COMMISSION_AJOUT,0.0
305,305,305,305,2022-04-15 09:45:24.0,305,COMMISSION_AJOUT,0.0304898499289586
306,306,306,306,2022-04-15 09:45:23.0,306,action_eneo_paiement,1.82939099573752
307,307,307,307,2022-04-15 09:45:23.0,307,COMMISSION_AJOUT,0.0
308,308,308,308,2022-04-15 09:45:22.0,308,validation_action_vente_mtn_momo_depot,0.0
309,309,309,309,2022-04-15 09:45:21.0,309,action_transfert,0.533572373756776
310,310,310,310,2022-04-15 09:45:21.0,310,COMMISSION_AJOUT,0.0040017928031758
